num_tubes,num_colors,seed,algoritmo,nodos_expandidos,nodos_en_memoria_max,tiempo_seg,tiempo_total,profundidad_solucion,solved,error
5,3,0,BFS,183,184,0.04631948471069336,0.04636430740356445,10,True,
5,3,0,DFS,13,26,0.003205537796020508,0.0032160282135009766,11,True,
5,3,0,A*_h1,14,31,0.010781049728393555,0.010793209075927734,10,True,
5,3,0,A*_h2,27,62,0.007844686508178711,0.007862329483032227,10,True,
5,3,0,A*_h3,14,32,0.004103660583496094,0.004114389419555664,10,True,
5,3,1,BFS,97,102,0.024961471557617188,0.02500319480895996,7,True,
5,3,1,DFS,10,23,0.002350330352783203,0.0023603439331054688,9,True,
5,3,1,A*_h1,10,23,0.007401227951049805,0.00741124153137207,7,True,
5,3,1,A*_h2,10,23,0.0027670860290527344,0.0027768611907958984,7,True,
5,3,1,A*_h3,10,24,0.002857208251953125,0.002866983413696289,8,True,
5,3,2,BFS,50,53,0.012419462203979492,0.012439250946044922,6,True,
5,3,2,DFS,8,18,0.0018668174743652344,0.0018761157989501953,7,True,
5,3,2,A*_h1,13,23,0.009471654891967773,0.009481668472290039,7,True,
5,3,2,A*_h2,10,23,0.002978086471557617,0.002986907958984375,6,True,
5,3,2,A*_h3,11,18,0.0032525062561035156,0.0032601356506347656,7,True,
5,3,3,BFS,26,28,0.006191253662109375,0.006201028823852539,5,True,
5,3,3,DFS,8,14,0.0017387866973876953,0.001744985580444336,6,True,
5,3,3,A*_h1,6,12,0.004381418228149414,0.004387617111206055,5,True,
5,3,3,A*_h2,6,12,0.0015816688537597656,0.001588582992553711,5,True,
5,3,3,A*_h3,7,13,0.0018146038055419922,0.001821279525756836,5,True,
5,3,4,BFS,72,72,0.017901182174682617,0.017920255661010742,9,True,
5,3,4,DFS,12,24,0.002883434295654297,0.002892732620239258,11,True,
5,3,4,A*_h1,10,19,0.007345676422119141,0.0073544979095458984,9,True,
5,3,4,A*_h2,13,25,0.0036771297454833984,0.003686666488647461,9,True,
5,3,4,A*_h3,13,24,0.003772735595703125,0.003782033920288086,9,True,
5,3,5,BFS,194,196,0.04906296730041504,0.049112796783447266,9,True,
5,3,5,DFS,15,31,0.0033712387084960938,0.0033817291259765625,14,True,
5,3,5,A*_h1,13,28,0.009266376495361328,0.009277820587158203,10,True,
5,3,5,A*_h2,14,39,0.0038509368896484375,0.003863096237182617,9,True,
5,3,5,A*_h3,12,28,0.003732442855834961,0.0037431716918945312,10,True,
5,3,6,BFS,108,108,0.027589797973632812,0.027617931365966797,7,True,
5,3,6,DFS,12,25,0.0027925968170166016,0.0028028488159179688,11,True,
5,3,6,A*_h1,10,24,0.007432699203491211,0.007443666458129883,8,True,
5,3,6,A*_h2,13,36,0.003693103790283203,0.0037069320678710938,7,True,
5,3,6,A*_h3,10,22,0.002902507781982422,0.0029120445251464844,8,True,
5,3,7,BFS,102,107,0.025359630584716797,0.025388717651367188,8,True,
5,3,7,DFS,11,23,0.009094476699829102,0.009128570556640625,10,True,
5,3,7,A*_h1,10,22,0.015197038650512695,0.015213489532470703,8,True,
5,3,7,A*_h2,11,25,0.004565000534057617,0.0045816898345947266,8,True,
5,3,7,A*_h3,11,23,0.0032227039337158203,0.0032334327697753906,9,True,
5,3,8,BFS,65,73,0.015537261962890625,0.015557527542114258,7,True,
5,3,8,DFS,11,30,0.002451658248901367,0.002462148666381836,10,True,
5,3,8,A*_h1,9,21,0.0065038204193115234,0.006529092788696289,7,True,
5,3,8,A*_h2,13,28,0.00344085693359375,0.003451824188232422,7,True,
5,3,8,A*_h3,9,20,0.0023348331451416016,0.002343416213989258,7,True,
5,3,9,BFS,80,80,0.01907491683959961,0.01909661293029785,7,True,
5,3,9,DFS,11,22,0.0024988651275634766,0.0025076866149902344,10,True,
5,3,9,A*_h1,9,19,0.0065610408782958984,0.006570100784301758,7,True,
5,3,9,A*_h2,8,17,0.002089262008666992,0.0020961761474609375,7,True,
5,3,9,A*_h3,9,18,0.002355813980102539,0.002362489700317383,7,True,
6,3,0,BFS,409,411,0.15552043914794922,0.1556704044342041,10,True,
6,3,0,DFS,13,34,0.004340410232543945,0.004354238510131836,12,True,
6,3,0,A*_h1,14,35,0.01854109764099121,0.018555879592895508,10,True,
6,3,0,A*_h2,27,74,0.01146245002746582,0.011502504348754883,10,True,
6,3,0,A*_h3,16,43,0.0070972442626953125,0.007112741470336914,10,True,
6,3,1,BFS,159,166,0.06227707862854004,0.062326669692993164,7,True,
6,3,1,DFS,12,31,0.0044689178466796875,0.004483222961425781,11,True,
6,3,1,A*_h1,10,24,0.016889572143554688,0.016904354095458984,7,True,
6,3,1,A*_h2,10,23,0.004061698913574219,0.004071474075317383,7,True,
6,3,1,A*_h3,13,33,0.005613803863525391,0.005625486373901367,8,True,
6,3,2,BFS,80,81,0.029408693313598633,0.029434680938720703,6,True,
6,3,2,DFS,9,24,0.0028581619262695312,0.002867460250854492,8,True,
6,3,2,A*_h1,13,29,0.016710758209228516,0.0167236328125,7,True,
6,3,2,A*_h2,10,23,0.004018068313598633,0.0040280818939208984,6,True,
6,3,2,A*_h3,13,23,0.0057332515716552734,0.005743741989135742,7,True,
6,3,3,BFS,36,37,0.012708902359008789,0.012721061706542969,5,True,
6,3,3,DFS,8,18,0.002495288848876953,0.00250244140625,7,True,
6,3,3,A*_h1,6,12,0.007588386535644531,0.007594585418701172,5,True,
6,3,3,A*_h2,6,12,0.0022842884063720703,0.002290487289428711,5,True,
6,3,3,A*_h3,7,13,0.002674579620361328,0.002681255340576172,5,True,
